Time,electricity_demand_values,air_pressure,solar_irridiation_positive,total_cloud_cover_percent,wind_speed_range,Wind scale 2,Wind scale 3,huimidity_Comfort,huimidity_Uncomfortable Dry,huimidity_Uncomfortable Wet,temp_0_10,temp_10_20,temp_20_30,temp_30_40,temp_minus_10_0,Is_Weekday_0,Is_Weekday_1,Is_Weekday_2,Is_Weekday_3,Is_Weekday_4,Is_Weekday_5,Is_Weekday_6,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2010-12-01,8549.852210985733,732.0416666666666,492.61538461538464,0.21875,5.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-02,7910.87039766548,729.5833333333334,502.0,0.14583333333333334,11.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-03,8758.89502825261,732.6875,441.7692307692308,0.1875,10.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-04,10013.06699041291,734.0875,501.7692307692308,0.2916666666666667,9.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-05,10694.276860708209,736.9166666666666,481.38461538461536,0.0625,14.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-06,9259.91103386181,730.2875,531.0769230769231,0.052083333333333336,7.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-07,9791.060912291,736.9250000000001,525.7692307692307,0.22916666666666666,8.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-08,9338.5042174995,730.4458333333333,492.84615384615387,0.46875,9.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-09,8722.556862922609,730.8000000000001,486.6923076923077,0.3125,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-10,8308.70141958097,733.2541666666666,530.6153846153846,0.4895833333333333,14.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-11,9378.02144324851,734.4916666666667,440.38461538461536,0.17708333333333334,11.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-12,9235.271622949951,732.1750000000001,571.7692307692307,0.13541666666666666,12.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-13,9989.50667663701,731.525,484.61538461538464,0.10416666666666667,10.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-14,10497.5486717205,734.0916666666667,482.53846153846155,0.2604166666666667,10.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-15,9372.873155146399,734.0833333333334,429.84615384615387,0.3854166666666667,11.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-16,9642.00654253541,733.5416666666666,512.1538461538462,0.65625,10.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-17,10833.62618438221,733.0458333333332,518.9230769230769,0.3645833333333333,9.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-18,9970.86688642421,731.0333333333333,520.7692307692307,0.3333333333333333,9.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-19,10241.88712747591,737.1166666666667,509.53846153846155,0.4479166666666667,7.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-20,11797.29691677931,736.3291666666668,513.5384615384615,0.6041666666666666,8.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-21,13452.7904678634,739.4916666666667,459.7692307692308,0.2916666666666667,11.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010-12-22,11181.0210461604,734.7958333333332,478.6923076923077,0.13541666666666666,10.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
